student_id,gender,study_hours,attendance_percentage,math_marks,science_marks,english_marks
1,M,3.5,78,65,70,68
2,F,5.0,85,72,75,80
3,M,2.0,60,55,58,52
4,F,6.5,92,88,85,90
5,M,4.0,80,70,72,74
6,F,3.8,76,68,65,70
7,M,5.5,88,82,80,85
8,F,2.5,65,60,62,58
9,M,6.0,90,85,88,87
10,F,4.2,82,75,78,80
11,M,3.1,72,64,66,63
12,F,5.8,89,83,86,84
13,M,2.7,68,59,61,60
14,F,6.3,91,87,89,88
15,M,4.5,81,73,76,75
16,F,3.9,77,69,71,70
17,M,5.2,86,80,82,83
18,F,2.8,66,58,60,59
19,M,6.1,93,89,90,91
20,F,4.4,83,76,78,79
21,M,3.2,74,65,67,66
22,F,5.6,87,81,83,82
23,M,2.9,69,60,62,61
24,F,6.4,92,88,89,90
25,M,4.6,82,74,76,75
26,F,3.7,75,67,69,68
27,M,5.3,85,79,81,80
28,F,2.6,64,57,59,58
29,M,6.2,91,86,88,87
30,F,4.1,81,74,76,77
31,M,3.4,73,64,66,65
32,F,5.7,88,82,84,83
33,M,2.3,62,55,57,56
34,F,6.6,94,90,92,91
35,M,4.8,84,77,79,78
36,F,3.6,76,68,70,69
37,M,5.4,87,81,83,82
38,F,2.4,63,56,58,57
39,M,6.7,95,91,93,92
40,F,4.3,82,75,77,76
41,M,3.0,70,62,64,63
42,F,5.9,89,84,86,85
43,M,2.1,61,54,56,55
44,F,6.8,96,92,94,93
45,M,4.7,83,76,78,77
46,F,3.3,74,66,68,67
47,M,5.1,86,80,82,81
48,F,2.2,62,55,57,56
49,M,6.9,97,93,95,94
50,F,4.9,85,78,80,79
51,M,3.5,75,67,69,68
52,F,5.5,88,82,84,83
53,M,2.0,60,53,55,54
54,F,7.0,98,94,96,95
55,M,4.0,80,72,74,73
56,F,3.8,77,69,71,70
57,M,5.6,89,83,85,84
58,F,2.5,65,58,60,59
59,M,6.5,94,90,92,91
60,F,4.2,82,75,77,76
61,M,3.1,71,63,65,64
62,F,5.7,87,81,83,82
63,M,2.9,68,60,62,61
64,F,6.3,92,88,90,89
65,M,4.5,81,74,76,75
66,F,3.9,76,68,70,69
67,M,5.2,85,79,81,80
68,F,2.8,66,59,61,60
69,M,6.1,93,89,91,90
70,F,4.4,83,76,78,77
71,M,3.2,72,64,66,65
72,F,5.6,88,82,84,83
73,M,2.7,67,59,61,60
74,F,6.4,91,87,89,88
75,M,4.6,82,75,77,76
76,F,3.7,75,67,69,68
77,M,5.3,86,80,82,81
78,F,2.6,64,57,59,58
79,M,6.2,92,88,90,89
80,F,4.1,81,74,76,75
81,M,3.4,73,65,67,66
82,F,5.8,89,83,85,84
83,M,2.3,62,55,57,56
84,F,6.6,94,90,92,91
85,M,4.8,84,77,79,78
86,F,3.6,76,68,70,69
87,M,5.4,87,81,83,82
88,F,2.4,63,56,58,57
89,M,6.7,95,91,93,92
90,F,4.3,82,75,77,76
91,M,3.0,70,62,64,63
92,F,5.9,89,84,86,85
93,M,2.1,61,54,56,55
94,F,6.8,96,92,94,93
95,M,4.7,83,76,78,77
96,F,3.3,74,66,68,67
97,M,5.1,86,80,82,81
98,F,2.2,62,55,57,56
99,M,6.9,97,93,95,94
100,F,5.1,84,78,80,82
